experimento,tamanho,otimizacao,tipo_acesso,repeticao,tempo_ms,soma
linha_coluna,2048,O2,coluna,20,22.172642,207617856.00
linha_coluna,2048,O2,linha,21,2.310011,207617856.00
linha_coluna,2048,O2,coluna,21,22.387610,207617856.00
linha_coluna,2048,O2,linha,22,2.381637,207617856.00
linha_coluna,2048,O2,coluna,22,21.792398,207617856.00
linha_coluna,2048,O2,linha,23,2.496699,207617856.00
linha_coluna,2048,O2,coluna,23,21.754259,207617856.00
linha_coluna,2048,O2,linha,24,2.445468,207617856.00
linha_coluna,2048,O2,coluna,24,24.476981,207617856.00
linha_coluna,2048,O2,linha,25,2.374753,207617856.00
linha_coluna,2048,O2,coluna,25,26.873130,207617856.00
linha_coluna,2048,O2,linha,26,2.423613,207617856.00
linha_coluna,2048,O2,coluna,26,26.316604,207617856.00
linha_coluna,2048,O2,linha,27,2.565587,207617856.00
linha_coluna,2048,O2,coluna,27,24.455625,207617856.00
linha_coluna,2048,O2,linha,28,2.466627,207617856.00
linha_coluna,2048,O2,coluna,28,28.404791,207617856.00
linha_coluna,2048,O2,linha,29,2.207886,207617856.00
linha_coluna,2048,O2,coluna,29,23.985584,207617856.00
linha_coluna,2048,O2,linha,30,2.683657,207617856.00
linha_coluna,2048,O2,coluna,30,21.963063,207617856.00
linha_coluna,4096,O2,linha,1,9.507585,830471520.00
linha_coluna,4096,O2,coluna,1,166.340687,830471520.00
linha_coluna,4096,O2,linha,2,9.782966,830471520.00
linha_coluna,4096,O2,coluna,2,186.047091,830471520.00
linha_coluna,4096,O2,linha,3,10.471203,830471520.00
linha_coluna,4096,O2,coluna,3,171.143570,830471520.00
linha_coluna,4096,O2,linha,4,9.932770,830471520.00
linha_coluna,4096,O2,coluna,4,168.792837,830471520.00
linha_coluna,4096,O2,linha,5,9.098737,830471520.00
linha_coluna,4096,O2,coluna,5,189.583244,830471520.00
linha_coluna,4096,O2,linha,6,10.416590,830471520.00
linha_coluna,4096,O2,coluna,6,172.922102,830471520.00
linha_coluna,4096,O2,linha,7,9.155883,830471520.00
linha_coluna,4096,O2,coluna,7,171.040310,830471520.00
linha_coluna,4096,O2,linha,8,9.478168,830471520.00
linha_coluna,4096,O2,coluna,8,186.860681,830471520.00
linha_coluna,4096,O2,linha,9,9.819587,830471520.00
linha_coluna,4096,O2,coluna,9,174.911593,830471520.00
linha_coluna,4096,O2,linha,10,9.307746,830471520.00
linha_coluna,4096,O2,coluna,10,186.469502,830471520.00
linha_coluna,4096,O2,linha,11,9.266407,830471520.00
linha_coluna,4096,O2,coluna,11,163.952792,830471520.00
linha_coluna,4096,O2,linha,12,9.147258,830471520.00
linha_coluna,4096,O2,coluna,12,160.526969,830471520.00
linha_coluna,4096,O2,linha,13,9.209289,830471520.00
linha_coluna,4096,O2,coluna,13,163.906683,830471520.00
linha_coluna,4096,O2,linha,14,9.262681,830471520.00
linha_coluna,4096,O2,coluna,14,163.127944,830471520.00
linha_coluna,4096,O2,linha,15,9.217188,830471520.00
linha_coluna,4096,O2,coluna,15,160.381769,830471520.00
linha_coluna,4096,O2,linha,16,9.140534,830471520.00
linha_coluna,4096,O2,coluna,16,166.526333,830471520.00
linha_coluna,4096,O2,linha,17,9.256922,830471520.00
linha_coluna,4096,O2,coluna,17,160.700187,830471520.00
linha_coluna,4096,O2,linha,18,9.198625,830471520.00
linha_coluna,4096,O2,coluna,18,160.464299,830471520.00
linha_coluna,4096,O2,linha,19,9.200818,830471520.00
linha_coluna,4096,O2,coluna,19,164.150315,830471520.00
linha_coluna,4096,O2,linha,20,9.531394,830471520.00
linha_coluna,4096,O2,coluna,20,166.798975,830471520.00
linha_coluna,4096,O2,linha,21,9.351705,830471520.00
linha_coluna,4096,O2,coluna,21,163.020957,830471520.00
linha_coluna,4096,O2,linha,22,9.233290,830471520.00
linha_coluna,4096,O2,coluna,22,170.679085,830471520.00
linha_coluna,4096,O2,linha,23,9.332619,830471520.00
linha_coluna,4096,O2,coluna,23,162.347509,830471520.00
linha_coluna,4096,O2,linha,24,9.205373,830471520.00
linha_coluna,4096,O2,coluna,24,160.602441,830471520.00
linha_coluna,4096,O2,linha,25,9.553227,830471520.00
linha_coluna,4096,O2,coluna,25,174.956057,830471520.00
